ZIP Code,Population,Year
04612,572,2020
04613,123,2020
04614,2663,2020
04616,677,2020
04617,781,2020
04619,3011,2020
04622,921,2020
04623,1011,2020
04624,191,2020
04625,49,2020
04626,609,2020
04627,1640,2020
04628,565,2020
04629,0,2020
04630,1338,2020
04631,1300,2020
04634,1946,2020
04635,10,2020
04637,260,2020
04640,2038,2020
04642,108,2020
04643,954,2020
04644,0,2020
04645,27,2020
04646,67,2020
04648,723,2020
04649,1162,2020
04650,380,2020
04652,1584,2020
04653,573,2020
04654,3359,2020
04655,1008,2020
04657,339,2020
04658,1479,2020
04660,1054,2020
04662,443,2020
04664,1344,2020
04666,1299,2020
04667,1299,2020
04668,1448,2020
04669,123,2020
04671,596,2020
04673,152,2020
04674,377,2020
04675,143,2020
04676,1228,2020
04677,278,2020
04679,1496,2020
04680,1199,2020
04681,981,2020
04683,93,2020
04684,1785,2020
04685,579,2020
04686,151,2020
04691,399,2020
04693,456,2020
04694,2308,2020
04730,9818,2020
04732,1536,2020
04733,274,2020
04734,916,2020
04735,606,2020
04736,9248,2020
04739,705,2020
04740,1387,2020
04741,4,2020
04742,3299,2020
04743,4483,2020
04745,885,2020
04746,404,2020
04747,1392,2020
04750,2261,2020
04756,3186,2020
04757,2655,2020
04758,1246,2020
04760,640,2020
04761,484,2020
04762,533,2020
04763,751,2020
04764,30,2020
04765,1026,2020
04766,387,2020
04768,378,2020
04769,9072,2020
04772,804,2020
04773,579,2020
04774,614,2020
04776,973,2020
04777,388,2020
04779,301,2020
04780,902,2020
04781,575,2020
04783,389,2020
04785,2013,2020
04786,1754,2020
04787,676,2020
04841,7172,2020
04843,4811,2020
04847,1729,2020
04848,625,2020
04849,3714,2020
04851,72,2020
04852,119,2020
04853,449,2020
04854,1428,2020
04855,437,2020
04856,3373,2020
04858,1264,2020
04859,702,2020
04860,1476,2020
04861,2761,2020
04862,4208,2020
04863,932,2020
04864,4775,2020
04901,26951,2020
04910,2344,2020
04911,1873,2020
04912,813,2020
04915,8943,2020
04917,2840,2020
04918,308,2020
04920,1655,2020
04921,1509,2020
04922,984,2020
04923,614,2020
04924,2423,2020
04925,54,2020
04926,371,2020
04927,3366,2020
04928,1992,2020
04929,883,2020
04930,4088,2020
04932,1289,2020
04933,28,2020
04936,205,2020
04937,6473,2020
04938,9972,2020
04939,861,2020
04940,0,2020
04941,1727,2020
04942,1124,2020
04943,1652,2020
04944,55,2020
04945,1117,2020
04947,1601,2020
04949,786,2020
04950,4675,2020
04951,1082,2020
04952,1953,2020
04953,3226,2020
04955,1403,2020
04956,791,2020
04957,4153,2020
04958,1896,2020
04961,791,2020
04962,225,2020
04963,7311,2020
04964,130,2020
04965,2159,2020
04966,1556,2020
04967,4042,2020
04969,1154,2020
04970,1517,2020
04971,1949,2020
04973,1374,2020
04974,2575,2020
04975,29,2020
04976,9842,2020
04978,862,2020
04979,849,2020
04981,2506,2020
04982,559,2020
04983,1646,2020
04984,780,2020
04985,95,2020
04986,2120,2020
04987,1160,2020
04988,2079,2020
04989,4146,2020
04992,85,2020
05001,9317,2020
05031,97,2020
05032,2823,2020
05033,2517,2020
05034,218,2020
05035,654,2020
05036,1139,2020
05037,900,2020
05038,1304,2020
05039,1272,2020
05040,628,2020
05041,433,2020
05042,492,2020
05043,1018,2020
05045,1997,2020
05046,1133,2020
05048,2938,2020
05050,138,2020
05051,1445,2020
05052,283,2020
05053,281,2020
05055,3264,2020
05056,407,2020
05058,344,2020
05059,441,2020
05060,4177,2020
05061,1562,2020
05062,463,2020
05065,1061,2020
05067,188,2020
05068,2997,2020
05069,591,2020
05070,484,2020
05071,149,2020
05072,591,2020
05075,941,2020
05076,327,2020
05077,1186,2020
05079,715,2020
05081,492,2020
05083,200,2020
05084,51,2020
05086,599,2020
05089,3992,2020
05091,3605,2020
05101,4324,2020
05141,206,2020
05142,714,2020
05143,4113,2020
05146,531,2020
05148,1223,2020
05149,1885,2020
05150,701,2020
05151,1466,2020
05152,445,2020
05153,588,2020
05154,575,2020
05155,770,2020
05156,9300,2020
05158,1136,2020
05161,629,2020
05201,14147,2020
05250,3625,2020
05251,1115,2020
05252,326,2020
05253,483,2020
05254,148,2020
05255,4091,2020
05257,2750,2020
05260,593,2020
05261,2441,2020
05262,2241,2020
05301,16037,2020
05340,781,2020
05341,558,2020
05342,466,2020
05343,779,2020
05345,2018,2020
05346,4942,2020
05350,672,2020
05352,897,2020
05353,1146,2020
05354,2392,2020
05355,719,2020
05356,482,2020
05358,139,2020
05359,585,2020
05360,287,2020
05361,1076,2020
05362,113,2020
05363,1917,2020
05401,30152,2020
05403,18919,2020
05404,7320,2020
05405,3469,2020
05408,9430,2020
05439,1450,2020
05440,1801,2020
05441,844,2020
05442,400,2020
05443,6947,2020
05444,1373,2020
05445,3817,2020
05446,15827,2020
05447,86,2020
05448,936,2020
05450,5073,2020
05452,22021,2020
05454,5156,2020
05455,1307,2020
05456,1136,2020
05457,1823,2020
05458,2133,2020
05459,2035,2020
05461,4645,2020
05462,1850,2020
05463,450,2020
05464,3263,2020
05465,5306,2020
05468,13678,2020
05471,656,2020
05472,1777,2020
05473,1351,2020
05474,1018,2020
05476,3226,2020
05477,4481,2020
05478,15173,2020
05481,0,2020
05482,7741,2020
05483,1515,2020
05485,108,2020
05486,1641,2020
05487,1504,2020
05488,7763,2020
05489,3510,2020
05491,5919,2020
05492,740,2020
05494,1657,2020
05495,10584,2020
05602,11724,2020
05640,309,2020
05641,16326,2020
05647,1155,2020
05648,429,2020
05649,390,2020
05650,1095,2020
05651,1421,2020
05652,610,2020
05653,644,2020
05654,1122,2020
05655,2930,2020
05656,3625,2020
05657,44,2020
05658,1592,2020
05660,1566,2020
05661,6013,2020
05663,6847,2020
05664,46,2020
05667,1939,2020
05669,891,2020
05672,4447,2020
05673,2414,2020
05674,1688,2020
05675,1192,2020
05676,4686,2020
